feature,contribution
TC（总胆固醇）,43.79746636848658
TG（甘油三酯）,43.46177717480452
LDL-C（低密度脂蛋白）,5.962413648011057
HDL-C（高密度脂蛋白）,2.7146325846034705
血尿酸,2.2622385894345887
IADL总分,2.2432997324986768
BMI,1.8073362910512334
空腹血糖,1.2620372677832008
活动量表总分（ADL总分+IADL总分）,0.9018718068171991
ADL总分,0.6942202942598525
痰湿质,0.44649661642424476
