feature,shap_importance
TG（甘油三酯）,0.28857272271700923
TC（总胆固醇）,0.26768718889669496
血尿酸,0.05947496018551948
HDL-C（高密度脂蛋白）,0.025310544018694797
LDL-C（低密度脂蛋白）,0.012394527163567677
性别_1,0.005002211525822724
空腹血糖,0.0015813287195121449
年龄组_3,0.0009031602897776404
痰湿质,0.0
气虚质,0.0
阳虚质,0.0
阴虚质,0.0
平和质,0.0
活动量表总分（ADL总分+IADL总分）,0.0
IADL总分,0.0
ADL总分,0.0
特禀质,0.0
血瘀质,0.0
气郁质,0.0
湿热质,0.0
BMI,0.0
tanshi_activity,0.0
tanshi_BMI,0.0
年龄组_2,0.0
dominant_tizhi,0.0
年龄组_4,0.0
年龄组_5,0.0
吸烟史_1,0.0
饮酒史_1,0.0
